current_round,start_aggregation,end_aggregation,participant count,actual partipants
1,1742998955.9362009,1742999086.780094,2,"['04c02891-9eef-41eb-a6df-001d89f0d053', '3969a78c-3d94-4bf9-9087-91a5c94da8ca']"
1,1742999899.136575,1742999969.1438038,2,"['74513489-6a2d-458b-85db-491bf31d2290', '75c314a5-6545-4560-8538-015adcabe28a']"
2,1742999974.288123,1743000044.291775,2,"['74513489-6a2d-458b-85db-491bf31d2290', '75c314a5-6545-4560-8538-015adcabe28a']"
3,1743000047.930032,1743000117.935626,2,"['74513489-6a2d-458b-85db-491bf31d2290', '75c314a5-6545-4560-8538-015adcabe28a']"
4,1743000123.742555,1743000238.1529012,2,"['33886cac-58dc-4c27-95b3-60696f1b4ebd', '74513489-6a2d-458b-85db-491bf31d2290']"
1,1743009046.456137,1743009173.790283,2,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '440794e9-13da-4725-822c-5705cbbdde89']"
2,1743009199.8169432,1743009269.8329349,3,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '440794e9-13da-4725-822c-5705cbbdde89', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
3,1743009286.42688,1743009356.437363,3,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '440794e9-13da-4725-822c-5705cbbdde89', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
4,1743009361.8189461,1743009431.83153,3,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '440794e9-13da-4725-822c-5705cbbdde89', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
5,1743009436.260062,1743009506.2615402,3,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '440794e9-13da-4725-822c-5705cbbdde89', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
6,1743009510.7815812,1743009581.066571,3,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '440794e9-13da-4725-822c-5705cbbdde89', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
7,1743009586.385483,1743009656.425044,3,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '440794e9-13da-4725-822c-5705cbbdde89', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
8,1743009660.358676,1743009730.361106,3,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '440794e9-13da-4725-822c-5705cbbdde89', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
9,1743009733.937898,1743009803.939559,3,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '440794e9-13da-4725-822c-5705cbbdde89', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
9,1743009808.581662,1743010149.358347,2,"['0c92bfd3-26da-46dc-98f0-9a42519f485c', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
10,1743010159.008353,1743010229.034284,2,"['440794e9-13da-4725-822c-5705cbbdde89', '86a1d34f-3288-4f46-a1f6-70d969fc4fa4']"
10,1743010243.409937,1743010243.414211
1,1743010422.7811399,1743010463.272762,3,"['092ab558-5cbc-4f1b-b8b6-c32eda6b6dc8', '315c9176-f9e9-4d7e-b1b3-50e976aee844', '679426a3-ac6b-4a25-949f-740e2fcfe380']"
1,1743010727.752948,1743010762.900877,3,"['04806001-2e83-4685-a1ba-d6cb92ce5d24', '42329892-877a-460a-a36e-128cd9b76d8f', 'bea8d4af-1d2c-4842-8481-9e0fd8b98649']"
1,1743010948.573524,1743010982.655806,3,"['3c348d9c-6828-4223-abd3-2f15f91b5169', 'bd60eca2-a47f-4e20-8150-19a59b2a2c5b', 'c2903a2a-3734-42dd-ab8a-c071f2e01e6e']"
